what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.wso2.developerstudio.eclipse.carbon.uibundle,2.0.1,"org.wso2.developerstudio.eclipse.carbon.uibundle",1348167397531
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver.remote,2.0.1,"org.wso2.developerstudio.eclipse.carbonserver.remote",1348167397531
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver30,2.0.1,"org.wso2.developerstudio.eclipse.carbonserver30",1348167397531
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver31,2.0.1,"org.wso2.developerstudio.eclipse.carbonserver31",1348167397531
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver32,2.0.1,"org.wso2.developerstudio.eclipse.carbonserver32",1348167397531
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver40,2.0.1,"org.wso2.developerstudio.eclipse.carbonserver40",1348167397531
stopped,bundle,org.wso2.developerstudio.eclipse.distribution.project,2.0.1,"org.wso2.developerstudio.eclipse.distribution.project",1348167397531
stopped,bundle,org.wso2.developerstudio.eclipse.carbonserver.base,2.0.1,"org.wso2.developerstudio.eclipse.carbonserver.base",1348167397531
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1348167397531
stopped,bundle,org.wso2.developerstudio.eclipse.bpel.connector,2.0.1,"org.wso2.developerstudio.eclipse.bpel.connector",1348167397531
stopped,bundle,org.eclipse.bpel.runtimes,0.5.0.wso2v2,"org.eclipse.bpel.runtimes",1348167397531
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1348167397531
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1348167397531
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1348167397531
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1348167397531
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1348167397531
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1348167397531
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1348167397531
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1348167397531
